,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id14,6.807786,4.759467471,1.139917909,12.22856943,13.90939524,16.62004464,7.20728028,15.93644095,14.81549233,id14,14.2401114,3.886701565,1.307232565,11.85730596,17.40404127,10.24132351,9.569644172,15.99373185,10.9456052,id14,14.80099828,6.415077862,1.707403352,20.65194424,13.65890115,10.63837005,23.71677731,16.06985668,14.06457707
,id140,14.03470445,12.23376346,14.54254272,14.04569961,7.674949362,20.43687329,19.2181909,13.68926597,11.22628093,id140,12.78516268,12.1073555,18.88501576,12.56488742,7.103842013,23.17427823,23.46802485,13.77318707,9.443313557,id140,16.1460608,16.14433806,15.8464139,14.0752567,10.08720829,20.10724319,17.9061646,11.6212327,13.51653757
,id141,16.19507684,17.90850477,18.89617414,17.60719579,19.02217208,18.60800642,16.5497975,13.39186981,18.72841043,id141,13.49644837,16.95243815,12.80161913,14.65169485,15.13206219,14.66824261,13.2199755,12.03097074,16.40975332,id141,16.71252204,21.03926665,16.20420651,18.65273543,21.21603301,19.68999753,20.55224054,13.29291337,18.79858781
,id142,17.85425181,16.40202567,16.46051322,13.9923665,13.78198106,17.0370808,13.54462806,7.218490889,17.38549308,id142,11.95666828,14.24469447,13.81058914,11.89856455,13.85757934,15.59524299,16.30407734,6.708583098,16.34074192,id142,21.53554583,23.68976499,13.16760072,25.25264219,19.54084381,19.24558902,19.55367659,8.492173238,23.90012632
,id143,13.41439075,17.58072733,17.1236763,17.27497977,15.84522067,16.72827418,13.88119815,20.8395534,15.39598914,id143,12.38373839,12.63542354,18.45606056,16.53715078,13.74030109,13.92554907,13.64703308,20.18947678,16.84726234,id143,19.69453207,20.95389128,19.26559177,19.74333453,21.94425466,21.8606315,16.49819971,24.4052457,25.65651112
,id144,18.45429856,14.839216,15.67054332,16.97138286,18.60727518,10.08897143,10.94132132,7.82098662,7.273627846,id144,15.82609583,16.265779,13.04529838,16.02670755,15.09674453,11.11071298,14.05156073,9.867800932,8.401849617,id144,21.52141066,18.95304786,20.39737444,21.42668951,20.2549619,11.81609477,17.55602921,7.408980152,13.12022849
,id145,15.59545966,24.79151952,15.87189811,14.45889015,17.54645668,11.95493258,12.30107693,8.600488819,22.43961848,id145,15.32141642,21.07387536,24.50761502,14.10133324,18.70998704,15.35370615,11.4278246,10.42480356,19.74864571,id145,16.68111939,24.14211311,15.71971491,12.80173,18.75533725,17.51764015,14.60922418,12.54904746,26.20338297
,id146,19.91384133,13.28313208,14.28435615,13.49461741,18.79326818,18.26419605,12.85500949,15.45090011,14.37009712,id146,14.33650838,9.289677534,13.8817327,10.3753057,13.99202047,17.86781004,12.99900682,14.46593951,14.61192545,id146,15.02027354,13.77562143,11.40345006,13.92907399,20.1936905,18.32637678,15.25781172,16.03611863,18.23150527
,id147,10.94068843,5.361595311,11.69559831,10.63879849,15.34793923,12.69661168,14.76014068,10.48772239,14.55289463,id147,8.911424896,5.481877276,13.76944679,9.321492785,13.5158311,11.46487115,14.03022147,11.93702108,6.878591417,id147,18.4691422,6.877735224,26.52867855,22.98541188,35.17309786,20.44260304,35.93570262,17.61630922,35.38051329
,id148,25.52502948,12.6573589,15.35059167,23.57984104,14.45311174,16.89722856,13.64768954,19.4093256,11.961145,id148,14.26616926,11.81235765,14.15830696,12.91962167,12.83938064,13.88985091,11.97633951,12.70692137,15.59584165,id148,23.24586483,12.37720448,14.36388156,15.12156627,14.56773398,18.1293539,11.92239641,21.07941601,10.57283098
,id149,16.98260088,18.3808867,7.417525661,10.09769484,22.85233334,11.63352767,6.495377693,1.634109359,14.46775495,id149,13.18914638,15.94760534,6.918687233,11.49169657,21.77752927,8.042810879,6.372293346,1.163291599,11.50512223,id149,18.66687475,20.65275737,10.36549064,14.10299191,18.48199305,7.814275422,7.574586436,1.389175974,16.21099999
,id15,13.95868128,18.95167364,15.69118385,14.3667004,17.0404123,19.54501655,18.92043964,21.52392523,19.78701239,id15,8.212094664,23.67030341,13.51939258,14.9073062,9.319400142,18.56643337,10.14376699,17.06056369,14.1966831,id15,17.01317187,16.89821068,13.6313114,18.31383524,10.97199319,17.01893203,13.46198999,25.04628528,12.12335637
,id150,10.08398262,13.39486249,14.23031587,8.329656425,12.28182586,17.01197429,13.65695059,12.20167776,22.6933395,id150,8.739035951,11.20744953,15.44215121,6.418956393,12.21611407,13.6015897,9.941332923,9.884435672,18.17041322,id150,13.78817732,12.3126278,14.56750748,7.056785775,14.08475162,16.8519446,15.09801472,10.83946043,26.32153562
,id151,8.957469905,23.70474025,19.06148811,15.95022217,15.26844437,21.18921405,18.27571606,15.75692088,16.80899921,id151,5.812812501,12.9491207,9.156944543,10.33861624,13.98481236,17.40606454,12.80821005,12.31148949,13.23279285,id151,5.714227321,12.93859326,13.23393758,11.45363213,12.7421179,18.95471805,15.25935516,16.21298945,17.7132719
,id152,1.626890285,3.622621754,9.4516028,11.06292152,0.4412009524,4.147703671,11.37009105,10.05027899,17.5363119,id152,1.163879042,2.644340203,5.368268452,5.834951065,0.2737598446,2.896472268,8.307380033,7.348437077,11.1503754,id152,1.277428632,2.651326745,5.552022972,9.276140679,0.2754777277,2.533242478,6.95523701,7.233420794,17.95208052
,id153,17.43861968,17.33199887,10.60904006,3.034906886,18.12619952,20.56875637,16.07242066,14.34557563,15.29813505,id153,17.47573519,15.81347665,12.44255841,3.814194359,14.62119099,17.26622667,11.22688469,13.69516609,13.63153936,id153,17.52869774,17.01068389,15.03878098,3.917352737,18.9410777,23.58758048,19.08186082,15.5248816,18.64429455
,id154,12.00516832,18.10713616,17.50004142,11.3417087,16.11977512,13.47158897,15.50816726,17.39557312,16.14986992,id154,11.24743409,13.99714916,13.15543256,11.49814301,15.41772642,10.92203726,13.20124215,13.59257445,15.38332001,id154,17.9192576,16.55973568,20.77555793,9.980009681,16.9963617,18.23743101,19.94206857,15.44408838,39.24034263
,id155,11.90701431,11.15860661,11.06608056,14.95415224,12.83805983,13.53726155,13.76023929,7.004212669,9.749067054,id155,12.45244114,12.21703538,8.017256029,13.64365437,13.28745142,8.66273661,11.76030197,4.10695029,7.58675917,id155,15.53590861,13.25187672,10.9052709,22.24441616,10.10140136,10.86334805,14.99590622,8.256367998,8.954739576
,id156,11.57960283,18.29720577,12.77483801,17.03850206,11.96261003,13.05734934,13.17901838,17.00871903,0.1985437037,id156,10.68469198,14.0165991,10.68571541,10.10768297,14.60157265,10.18730564,11.26076233,16.45687319,0.1213433525,id156,10.41373206,13.93810191,13.93171384,11.87895991,14.28863678,12.53875376,10.1004994,20.62489054,0.1912257373
,id157,15.65432457,11.87142511,14.51237597,18.35565315,15.43832453,15.52068354,15.52959117,21.61340598,15.51666955,id157,11.58288821,8.17956283,9.724109275,13.85873606,12.78616403,11.49372627,11.47050613,13.15522713,15.60250199,id157,13.62490689,8.782171003,12.13691508,12.27975476,12.64480975,10.09474705,14.89399476,14.58362913,18.55946177
,id158,8.993333982,10.30845359,5.635690068,10.2240521,6.080305158,6.46461987,4.299841712,21.10421131,17.34189685,id158,6.166311982,9.702629399,3.596700125,6.041957041,6.497302578,5.226227373,3.863595953,21.66543095,11.93065883,id158,7.37892981,9.841207599,4.951447815,7.152909783,6.551625067,9.565586657,4.891672663,17.87042495,16.63987653
,id159,8.906133548,12.40248138,12.8952935,15.50906654,17.76373874,1.41908261,16.34580607,13.24278999,10.20061123,id159,8.954581421,11.82563345,13.20719904,12.94027858,14.81421313,1.129449637,14.21056308,12.1867124,10.53574219,id159,7.758710801,14.30725272,16.58315194,15.42416768,21.64974072,1.314528118,12.84562428,16.05860601,12.71114076
,id16,14.22307579,18.31864664,5.30655818,0.8801375193,0.8396799249,1.370882314,5.396370341,14.56318618,5.098503849,id16,8.60239945,13.92679512,3.619029716,0.9164264752,0.9339493426,2.09305036,7.200640555,10.49867619,3.476186631,id16,9.343280019,13.75882361,4.445053177,0.96421659,1.33037553,2.866656987,7.654885918,11.70914337,3.369604281
,id160,11.82188977,14.83643888,13.81273148,11.15803231,3.110371099,10.68385755,7.609198681,6.298166519,16.12062325,id160,7.882662313,14.51352526,10.97430406,13.78835432,2.980753079,11.18686247,7.482791887,8.081613061,16.13914913,id160,13.18038968,20.73296237,19.60496248,15.84917868,2.585633988,11.94886542,9.403693751,9.270690282,39.09459048
,id161,12.92571653,9.679552781,12.134448,17.52112688,14.40654233,16.47385016,13.06058501,8.442185078,18.72255459,id161,9.929110753,8.099485462,12.65302972,14.64825566,10.44751556,11.99977687,10.16186803,6.747531048,15.21281029,id161,10.14891088,11.54078107,14.9609629,15.87473798,15.27869411,16.13517289,16.73056796,8.656381554,17.84042038
,id162,14.41643241,8.336346859,8.89094324,17.56577677,6.403499922,9.91136104,14.92699497,8.011385006,6.217107908,id162,13.52293897,7.558961025,8.262521466,18.11539502,5.53099267,12.11760254,22.87016717,5.100678217,4.413157619,id162,15.60980382,11.13643679,10.72652234,23.23355283,4.342203567,14.08421964,22.928106,9.416018627,10.40551952
,id163,13.7824829,15.97103844,10.68665398,10.4978912,10.14171748,9.858710434,10.17920003,12.37140846,9.894176166,id163,14.14225477,12.74703989,9.654787716,11.08502013,10.38846381,13.7170794,13.08486117,12.94628154,14.91380382,id163,19.91884769,20.24353317,13.83308829,13.43533332,14.28578197,18.82799413,19.90482571,14.76721259,14.7719453
,id164,7.417160079,6.252131331,11.04146129,11.50443484,14.58271787,9.89733432,9.373916144,16.78889366,12.91837871,id164,4.744376981,5.043478702,10.80338515,10.68943301,10.59877598,9.212376499,8.368713914,15.07120179,13.28882316,id164,5.094974273,4.284613022,11.23297667,9.957162602,9.245375916,10.34057512,8.894114245,13.37617328,12.50816707
,id165,18.60997671,23.03439254,4.623763987,11.04233457,12.28551577,10.81733356,3.823812095,16.0075345,16.87435464,id165,18.89997136,13.64696269,4.160533683,8.023384973,10.33669676,9.992234562,4.616050012,11.51890602,12.75125568,id165,19.68270515,21.485793,9.437572099,11.37197128,15.97027581,16.5575112,4.495276031,28.84257168,30.02744176
,id166,14.73182882,2.807667241,8.203337071,3.645776661,19.07501938,1.050292336,0.5791960635,1.626776771,5.395747141,id166,11.93854544,3.553520411,6.912693309,2.859436689,13.17806863,1.552765648,0.9620145249,3.222114473,2.673011083,id166,13.64012679,3.63248492,9.757373202,4.07016544,18.54089388,2.250077506,1.380586505,4.634443807,5.478154105
,id167,17.74268137,11.98297848,16.48413896,13.15214292,12.80400723,19.72475185,14.75949541,8.090447843,6.189029128,id167,12.89724024,9.067592187,10.83120288,12.00591658,8.498314917,13.24508687,11.7191963,6.777080136,4.042468754,id167,16.45964034,7.244773283,10.64589819,16.15621254,12.60742704,12.88813903,11.74441065,8.090273806,11.13028674
,id168,19.38267434,22.60866149,15.19307752,20.36158183,18.93104399,24.82892745,12.99622238,15.62800748,19.27675972,id168,12.81509407,14.6319144,14.16025495,13.54679703,13.23406773,16.29944452,12.59682752,19.93826844,14.58582095,id168,14.00822458,22.89851343,20.68560615,21.33789031,25.23520526,28.05473294,23.37733198,28.81393415,22.06802341
