,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id123,20.24499342,8.668401734,24.73056468,22.38693783,20.98584352,0.2939285147,18.45595471,20.51165078,12.93196793,id123,19.7067383,7.775198848,15.274893,19.38222284,17.97805551,0.2507494614,17.61812415,19.03595126,9.391595768,id123,31.52465836,15.18901431,41.04832057,39.04806093,39.18540605,0.6299825258,40.08808451,40.54918446,24.5367931
,id124,7.354840207,0.06633908291,6.034414026,0,5.102516246,9.852979266,1.804762006,2.586117832,0.00001372990087,id124,8.77823308,0.07864332284,4.817720741,0,4.46105386,9.234037286,1.203990878,1.376848205,0.00003539232409,id124,7.946126349,0.09327197032,7.173861442,0,5.978192691,10.32585696,1.64205132,2.251544787,0.00007446391366
,id125,6.409894772,18.17790843,19.88609697,10.43898522,18.68922093,18.5820757,18.54027415,20.98493439,14.90940744,id125,4.994781308,13.36457877,15.49807722,12.67188243,18.32259646,14.73816748,14.7824734,17.99548032,13.33087696,id125,6.445898615,31.90707551,32.16519743,16.92536202,29.80954336,34.98203637,30.64859888,38.81571602,32.81722898
,id126,15.83337234,12.28236027,20.85625322,14.70150354,20.73052249,12.47677182,17.8058347,14.45378378,6.506667669,id126,17.11734348,9.153042221,16.51148617,16.99620601,19.04732688,14.62936369,14.89045252,13.02054263,4.411104434,id126,13.92815369,10.61135652,16.71053022,12.84400869,15.88520452,12.81303924,15.84489851,12.40946307,5.321924047
,id127,18.22576878,19.34338088,18.87384712,17.98354106,8.951675776,0.0001431841599,8.268124035,2.33416693,9.717676515,id127,15.49485314,15.55061233,19.59674659,15.68915675,9.599680335,0.0002448715813,6.241018407,3.078348965,6.760182412,id127,20.96435533,19.7140645,20.02401206,22.73651972,16.40360299,0.0004621250624,10.17334598,4.363502774,9.201603258
,id128,17.79453143,13.64004464,19.59632331,18.19449153,13.99874831,17.47474253,24.65753835,5.765202149,21.17964343,id128,14.12617097,10.58612307,12.99940662,11.62757614,11.80410489,17.14049542,18.54908459,4.132650838,13.8619877,id128,20.47029532,21.55293763,21.40771199,20.03905863,17.42308084,29.92847553,27.0321913,6.811317996,38.46666964
,id129,24.16858345,15.01972755,10.55214035,12.36011517,12.18984616,14.5375383,11.65864252,17.26861024,2.302525628,id129,15.08635223,14.63088065,10.02309895,9.973748349,9.157057129,13.81805674,9.451919112,15.52112283,1.710652623,id129,24.4529405,20.97437367,10.91738966,14.71582918,10.5490888,18.03608342,9.100645873,17.59563754,2.572982176
,id13,8.883367039,6.084489179,8.81946529,7.048170882,10.36329765,3.186634055,10.41043283,12.53786125,8.226653425,id13,7.699605138,6.031871384,9.302807177,5.698096269,8.826061416,3.047929641,5.897511693,10.55612644,6.745584051,id13,8.347001161,7.804906136,9.609673148,5.228780576,9.340566883,4.752093476,6.000448551,9.767528455,8.219134861
,id130,2.906961174,3.001313622,3.93670712,0.1558467488,13.94863331,13.60692263,4.934222621,5.205982413,18.81641831,id130,6.470554833,2.142857867,4.09737078,0.1393498444,15.84694319,10.66922854,6.310504683,4.370173797,21.86518296,id130,3.910624624,2.320882098,4.441340045,0.146186452,21.58097109,11.58250988,9.975362408,7.92177373,24.91881402
,id131,0.8766272455,0.2058204614,6.374063133,16.50849949,2.362802879,15.80517117,4.838026737,0.7243535619,0.0001351242267,id131,0.9972336421,0.164195252,5.424955492,14.0752221,3.466619766,15.74759658,6.620987474,1.043662694,0.0002334491121,id131,1.07771133,0.2196145302,6.818292299,22.32352546,3.107415698,17.30559892,11.13644249,1.601900536,0.0003746114457
,id132,6.485049354,9.204408428,17.33207819,16.03175664,13.42547318,16.48487747,16.3297381,17.92795391,17.10298143,id132,6.568881424,6.839481836,14.09035754,11.38267047,9.796207291,14.17059671,14.09975277,13.10478051,10.91178691,id132,13.14028641,22.26018125,41.58565877,34.48724971,26.6663387,45.73144876,38.72670313,44.01795807,38.35289794
