,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id107,18.05716611,17.76157212,15.00799139,17.71114597,19.41299515,15.32876624,17.07634926,13.51425955,16.98923987,id107,14.25130085,13.79281496,13.66842996,15.55607379,18.01488318,16.55141688,15.52038772,12.13024375,20.03534622,id107,22.17295126,26.7387938,14.83178237,22.50172999,20.95664548,21.91250022,21.6362766,11.4961706,21.74693733
,id108,17.17516587,20.20000364,8.751162356,13.00705286,16.52619094,16.23911305,14.91159456,17.97579638,15.10099201,id108,12.58307625,11.34338994,6.207812141,7.167470023,11.670025,8.43420603,13.07095965,11.06543228,11.71377007,id108,12.2120758,9.557608049,6.001077117,10.59431364,12.65031895,10.61993913,7.931841571,13.39700484,11.89994412
,id109,15.98927918,14.87738384,11.75823755,7.821756969,11.59393794,13.15729071,16.01606389,9.695611946,9.952981201,id109,12.84896839,13.36050747,12.0956087,10.91378929,9.419253984,12.36832133,12.4203574,8.569529753,9.065144695,id109,19.16833162,16.85536829,13.64995431,13.29148685,13.29546852,16.31641801,22.79627596,10.63620038,11.92025984
,id11,18.5674511,11.78465686,1.475691102,0.04642462494,9.112036402,20.14218358,9.235121837,13.88891242,7.124544903,id11,15.45737167,11.6666823,0.9843738214,0.05602089844,7.103296378,12.25543543,4.316176051,10.61021026,2.246995806,id11,25.91739312,9.678620293,1.234075211,0.09475788176,8.296096802,23.24139853,7.704435929,19.15881849,2.504637241
,id110,4.141233866,6.237033032,18.11170183,10.99321826,7.967084715,9.438762778,5.007689332,23.51846004,19.54801733,id110,3.048244484,5.262218576,19.08008336,9.867069103,4.91018385,7.180324323,5.56769875,15.24199488,14.24118546,id110,4.236449089,6.302322902,15.87345259,10.438453,6.624595711,9.007407565,5.205805885,22.53536078,21.92463677
,id111,9.649803878,2.483234231,14.40722787,8.486326513,12.68647554,15.48874967,10.87098498,16.23334313,15.52674071,id111,6.037065053,2.00172874,7.714391262,5.821120682,7.890977373,12.25912691,7.067973171,8.38375935,9.633824365,id111,6.234626936,1.766387389,7.961256295,6.37090083,7.326302632,13.79323632,6.556907894,10.3472227,9.277813863
,id112,0.6281767996,5.791548877,5.255980094,16.81263273,10.46728031,14.25306618,14.23787336,14.44108346,18.94678811,id112,0.4036100786,3.831538617,4.791653803,15.67119897,6.310954609,10.04321109,10.52290439,10.19119605,13.08836009,id112,0.5434272272,5.127393732,4.925723097,17.14107314,10.17151793,12.38569312,7.366732282,9.873091386,13.1984163
,id113,17.59594767,19.38510619,11.55211493,14.69636119,16.48101984,16.15528858,20.25847618,18.85227356,17.04662606,id113,12.60974632,13.12930598,11.35238121,16.82083328,13.75761397,13.23347404,15.69904918,13.28767002,14.72924772,id113,21.6093392,19.13063405,17.85568969,16.94699789,16.83037239,18.41620197,25.92387168,26.12753803,23.72644751
,id114,4.660017088,5.886870426,11.38541826,12.5086186,13.48950731,19.46316008,13.14253555,6.401795033,14.18700927,id114,4.405938154,3.77655857,9.835865428,13.46162958,9.796597805,18.9125438,13.16966712,4.967539048,15.95882886,id114,6.53060397,3.86552704,12.85407018,13.18727307,16.28609715,29.16246398,11.0962658,6.297925938,20.2444102
,id115,18.50798373,3.898425688,3.810239347,6.732880124,7.127994244,8.15472433,2.221524329,13.64809355,12.11834141,id115,14.77940746,2.65381683,2.916635904,3.673063334,5.412893864,7.031359037,1.191180518,10.01807282,8.838887484,id115,16.98043803,2.778928249,1.763480609,5.293181146,7.681090577,9.351508475,1.698057096,10.8245687,14.56739958
,id116,13.94818561,8.452095516,10.24479253,11.55124882,18.03068538,10.29804335,14.19594641,12.00067706,15.27921448,id116,12.10150014,7.806245901,8.626983123,13.98520597,18.67520082,8.737786053,11.47662316,13.55899662,15.2339912,id116,14.94618076,13.23665438,17.00314654,16.55864579,21.17555351,14.54315714,17.6023328,15.054294,20.12864996
,id117,6.538252772,12.55053692,25.33066296,0.4936991761,4.351312547,2.358294613,7.587566055,8.428199549,0.0008036403829,id117,4.699204291,12.54170428,19.4962453,0.4802275219,3.46706394,2.440936998,6.428721115,10.37611147,0.0006332991956,id117,5.57698258,11.38130337,26.54440511,0.481325731,5.715465189,4.045270402,5.881682813,9.267424085,0.001270553113
,id118,9.21759106,6.562725321,6.226387387,5.588591535,6.197430836,6.849593254,4.92742005,7.414232979,4.360102151,id118,7.520035244,4.960340212,5.790788718,4.769859277,4.697886332,5.541523905,4.037166401,6.15141217,3.710271004,id118,7.154018968,5.529159042,4.97439295,6.311907443,6.376116705,6.90127154,4.914887577,5.467624168,3.160874797
