source_file,task,feature_type,channel,source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31
resting_mav_normal - C3.csv,resting,mav,C3,51,,id142,17.32338175,21.21980574,16.02243638,16.04816124,5.613339418,16.1293059,14.01064795,9.363093881,14.52840433,id142,11.98985992,13.04206038,15.0907035,11.02182813,5.841734854,12.86756012,14.23134535,6.750863441,15.33014086,id142,23.75331791,22.62708299,16.25090695,22.49651258,9.314116248,19.21884425,17.43620192,9.547472427,23.46258587
resting_mav_normal - C3.csv,resting,mav,C3,52,,id143,14.56068727,19.77560042,16.95720833,14.86842211,18.48067008,18.44145307,9.027257031,15.41253145,13.9661515,id143,10.42025678,17.02795482,14.74996445,14.329972,18.05781396,18.10725507,9.30296685,9.763356891,16.60388594,id143,14.87263761,20.23290209,16.90509194,19.69862828,16.97253991,21.93886516,11.1705472,14.48734218,27.18579805
resting_mav_normal - C3.csv,resting,mav,C3,53,,id144,17.37809609,13.83201459,20.48429321,17.39371687,21.84007449,14.05867071,15.38237038,8.939520476,14.5091317,id144,16.23702286,15.74627789,18.2292099,17.87354552,20.75162698,14.15580439,14.64055548,9.153217034,18.16925346,id144,21.4970884,13.44822016,20.38864691,19.45676496,22.5698233,14.91989008,23.58901915,7.239732311,19.13943474
resting_mav_normal - C3.csv,resting,mav,C3,54,,id145,16.18286999,16.51113076,18.98266517,13.46465162,15.88370225,10.4633435,12.54306137,10.29078392,16.82905087,id145,12.07749672,20.19808554,24.36542979,12.4755645,16.86125968,12.40032563,13.46479032,11.44001011,16.83003941,id145,15.61745582,18.79616535,17.42038967,11.51845036,22.08048928,15.4932937,17.46789569,11.56882039,21.82129607
resting_mav_normal - C3.csv,resting,mav,C3,55,,id146,16.5285591,12.37471321,17.07787346,12.67035345,13.01525875,17.53559917,12.42439811,8.435047382,14.05469192,id146,13.05518638,12.81917151,15.07113741,13.88769455,8.628598556,16.05549852,10.91274725,5.643746878,15.80247209,id146,11.19128038,12.70555209,13.40132425,12.48533575,12.85266774,17.8625847,12.93704908,7.174926754,20.82761741
resting_mav_normal - C3.csv,resting,mav,C3,56,,id147,10.66321865,5.146231254,11.14418209,5.518581664,9.174948477,11.61799382,6.92992813,2.861474634,14.96768434,id147,8.601744959,5.045226308,8.910243709,5.751706714,11.79774988,12.65370735,11.6606378,4.77059185,11.42873612,id147,19.71038277,7.048499613,23.72748761,8.739414973,16.56485735,25.7127265,18.26384561,6.784704962,31.08903087
resting_mav_normal - C3.csv,resting,mav,C3,57,,id148,21.31401792,15.88222098,11.88914832,13.2729174,14.88846339,14.91232284,15.25124372,16.53054192,10.52922974,id148,14.65672445,11.64643529,7.934286993,9.055710627,9.929348362,12.48785196,9.516064307,14.52064479,13.66323006,id148,14.81789635,12.92994907,7.047596086,9.679874219,12.58634701,12.17224336,11.9056182,19.81453736,11.21472693
resting_mav_normal - C3.csv,resting,mav,C3,58,,id149,18.64419856,15.98278839,15.66155129,20.52949697,21.62737921,18.05658995,16.18069782,16.58910695,14.95266044,id149,19.75865355,13.79982626,13.96593126,20.46433562,18.1598652,10.35662516,11.30967203,15.14955366,15.40420697,id149,20.54343121,15.51205999,15.19228082,21.44806764,17.73368253,10.88147445,14.69516173,24.64839218,17.39746727
resting_mav_normal - C3.csv,resting,mav,C3,59,,id15,4.885735968,3.544335819,5.445857305,9.870920668,10.49371123,7.688023607,16.04365393,11.45829812,9.705788784,id15,2.488949842,2.180658155,5.604531747,6.481376115,8.936985097,6.098558746,9.105472394,9.396731852,10.07285975,id15,3.146101181,2.165011697,7.222742332,7.793950181,13.14495196,12.89677356,11.66058636,8.539776587,11.90162999
resting_mav_normal - C3.csv,resting,mav,C3,60,,id150,9.154295462,14.13533615,14.90518722,7.787904165,12.06727539,18.56406684,20.10552903,12.4835622,26.23634222,id150,8.369034564,13.58556373,13.48531258,9.168739049,10.76966367,12.75058863,15.48737618,15.28080415,19.23361427,id150,12.07227595,13.40332301,15.45655861,11.90188295,10.03534704,12.43978368,18.52964412,12.23143445,22.57921751
resting_mav_normal - C3.csv,resting,mav,C3,61,,id151,12.06367226,20.65153054,16.77051223,14.10013307,18.04946485,24.25635713,23.84355235,16.58826461,17.7067279,id151,7.730523166,11.84557627,12.78710419,10.5544298,14.11453339,17.29207346,18.34498366,12.66039993,11.41990692,id151,7.073047451,13.64169525,16.0872731,13.26512925,15.76083148,22.88394675,21.56832691,14.27960286,13.2712467
resting_mav_normal - C3.csv,resting,mav,C3,62,,id152,1.086672573,4.462876894,11.74244169,11.63996914,0.4751928636,5.157661069,7.307293821,4.938123216,5.237489215,id152,0.5271815214,3.943061856,7.753555376,6.644322354,0.2339973389,3.213023836,4.573260462,3.732964434,4.994389506,id152,0.6013480119,3.615862049,7.983865892,9.711162551,0.1918751374,3.246030464,4.351824098,5.136992197,4.667997589
resting_mav_normal - C3.csv,resting,mav,C3,63,,id153,16.35362367,12.29738777,12.78359634,3.762183097,17.04861973,15.22673029,17.14932352,15.01017557,12.86342059,id153,14.84768319,9.530592881,11.19587072,4.155360874,11.9211921,13.30227227,12.87879802,16.23605666,13.44969682,id153,17.18524932,13.13481472,11.54267623,5.020956266,15.64597,17.98474973,17.81439807,16.09876147,16.53288911
resting_mav_normal - C3.csv,resting,mav,C3,64,,id154,17.55060809,16.04584916,18.23919595,12.05914262,13.86350924,8.464246375,18.95014963,14.76564259,16.7156275,id154,15.94187147,8.805387891,12.49774696,7.509769338,8.837058796,9.994102161,19.512,13.20223616,16.06226121,id154,19.94428896,12.91327368,19.33058472,11.24146688,9.624775529,8.851064026,23.49428318,14.36348098,38.28074072
resting_mav_normal - C3.csv,resting,mav,C3,65,,id155,15.80940897,11.59564595,14.99782939,11.65659117,16.83265374,10.5946637,11.56671019,6.314047777,5.624669903,id155,14.97383489,13.61019596,13.49655868,7.249202934,14.12149272,5.536240723,9.698624481,6.591186366,3.297926825,id155,18.94312889,15.88099702,14.93752688,18.18643252,16.07038193,7.393570048,9.796880335,9.85926641,5.801448724
resting_mav_normal - C3.csv,resting,mav,C3,66,,id156,13.06162342,11.59660614,12.64071996,14.89260018,12.20562959,17.4170327,4.193632152,12.37084881,0.1859462935,id156,8.326709463,9.369894883,9.583064553,9.904683067,12.91670322,16.42706008,4.381945317,10.72616326,0.1420786769,id156,10.82412318,8.553447808,12.30976106,12.37126063,14.47211146,14.719187,4.559799435,11.76522067,0.1718760536
resting_mav_normal - C3.csv,resting,mav,C3,67,,id157,12.53416614,12.95716689,13.78233883,12.61840859,15.02347497,10.82878256,11.84000272,9.922772725,8.523011252,id157,10.25746418,9.37133479,11.25365965,10.66252726,9.820786955,8.422355298,9.013737231,8.183545093,5.200502824,id157,11.71909267,11.80236967,9.841357876,11.03854818,10.55342294,8.24944755,9.327035157,10.05580952,4.627627616
