,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id125,10.58305829,12.12694069,9.129367831,8.593067683,14.6588933,13.37930354,13.78949037,16.98077019,14.801742,id125,10.39708275,13.88191664,9.490745002,10.17789384,14.36119929,11.26068697,12.79555533,10.90080621,13.74520261,id125,8.964261363,15.95209383,14.33531605,11.21745478,21.80072766,15.20196927,19.21069293,20.89293894,22.17367766
,id126,15.42526968,12.43200134,8.018254226,0.2906809631,19.02150103,11.95968608,14.93782383,9.430684243,8.832545501,id126,17.46860356,11.2033175,7.642342134,0.3333633199,20.09370298,11.9282968,11.77673661,8.391279059,6.47648545,id126,17.50536361,12.21445465,6.792045978,0.3278069105,16.89767869,9.642671591,12.28293302,8.472228082,6.945640188
,id127,11.92928146,18.63781898,17.82815018,20.46864796,20.46196484,0.0002504240411,6.874571337,3.78954008,0.4753779267,id127,8.784733754,17.25438515,16.02597436,16.00155367,16.33890526,0.0004701846214,6.375543865,3.978332527,0.469576341,id127,12.00508885,16.91708955,19.40076226,18.85015286,27.15260852,0.0007460984777,8.31023085,6.021689665,0.4716810998
,id128,19.34619566,14.407723,14.53801842,19.40208052,21.2926726,17.47759256,23.35070836,7.333750969,23.35487708,id128,15.37935942,9.800416403,9.980042037,17.9005605,14.91668994,13.71338193,15.69751696,5.371706972,15.31815285,id128,22.35233601,19.15823274,17.66900187,27.42075469,32.05936353,25.99660647,25.26616403,7.15475457,42.51740122
,id129,18.80570568,13.55116077,11.34594639,7.082411991,10.57577753,14.50010608,9.28934451,13.73962482,2.644627038,id129,13.60576699,8.888091673,7.967782134,5.599543765,7.393147645,11.61133252,6.573032253,10.80286707,2.74963697,id129,19.44609583,14.48157357,10.43428595,10.12043014,8.21520234,14.29237553,6.539893456,9.746273785,3.104359339
,id13,0.491971888,6.485578487,2.867361552,6.26858967,0.6679407977,1.782515286,1.332361281,2.549993265,2.26128968,id13,0.8229619123,3.839836305,3.941478101,4.179025206,1.164246801,1.983920153,2.151844694,2.741253923,2.636095793,id13,1.18091916,3.672233672,4.201185963,5.29653905,1.021697813,2.812683273,3.125436365,3.32555308,3.577605255
,id130,2.962973604,0.09420289106,6.638323312,0.1496246355,16.2566662,6.915492442,7.120029562,7.724964302,18.18063823,id130,3.697856059,0.09300778483,6.316597827,0.1338546211,15.18069362,8.530884908,7.465500911,6.989115197,18.2829068,id130,3.157851157,0.09162725101,4.723561181,0.1401055601,20.69482213,9.445291895,12.32473776,7.191196045,23.41114502
,id131,2.891386867,0.09920346028,7.831956874,17.4664368,0.001200333819,16.00231962,11.09506959,0.7219105734,0.3426452343,id131,2.416053752,0.07914051426,4.930687153,13.15338214,0.001480587435,15.48480443,10.51603676,1.035232684,0.5687880465,id131,3.906339363,0.1058520673,8.078327797,24.73113934,0.002014847946,20.89976413,15.59629651,1.639639494,0.8169513835
,id132,4.817591702,12.0263786,21.97419875,14.71529821,11.59728447,15.32117771,19.38731037,15.29395264,21.18601879,id132,5.096364756,11.07083817,13.45366678,10.65826086,10.6412095,10.02092137,17.08614618,13.24715025,13.84966569,id132,10.22071178,32.24650728,47.19675331,30.40404336,27.80069562,38.91764997,46.91576126,31.92762765,49.68590069
,id133,14.29501338,8.427630189,9.240305609,12.31907846,7.386965896,11.45218885,5.96048366,14.34133418,14.08972166,id133,11.51174761,10.03385639,9.456302972,11.50034942,7.300474235,15.70148247,8.067855722,16.82264807,15.42074062,id133,11.79373354,9.731372276,7.533399457,12.32838927,6.427785944,20.46600731,9.188634179,15.90968891,28.28600422
