,High_Beta,variance (µ),,,,,,,,,Low_Beta,variance (µ),,,,,,,,,Mu,variance (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id107,0.0002405560506,0.0006087446725,0.0004144562057,0.0007201466411,0.0004885482245,0.0006446317512,0.0004630181923,0.0003975204925,0.0003391858117,id107,0.000101972795,0.0002247252469,0.000291614964,0.0003600692522,0.0002598932617,0.0003103634712,0.0005099771903,0.0001333383679,0.000387194347,id107,0.0001564773276,0.0004676977108,0.0001992903679,0.0007349680534,0.000752334728,0.0005111141268,0.0004879176278,0.0002400771541,0.0004371490572
,id108,0.0005056532269,0.0007423043717,0.0002308269606,0.0003735034106,0.0004825513718,0.0003155170235,0.0001833854064,0.0007215033622,0.0003381199635,id108,0.0001949778677,0.0004061123123,0.0001252388479,0.0001926744029,0.0001555274473,0.0001520237145,0.00007945452053,0.0002796045202,0.0002526081183,id108,0.0002379257409,0.000240222331,0.000127508543,0.0002942175236,0.0001647568889,0.0001335535027,0.00007638720014,0.0004099193216,0.0002269881963
,id109,0.0002437267787,0.0002351534555,0.0002777695001,0.000005876651758,0.0000267403973,0.0002757522029,0.00005288901372,0.00006353457573,0.0002594906255,id109,0.0001975852095,0.0001699803111,0.0002149047302,0.000006761979666,0.00002517242041,0.0002410817009,0.00004190962054,0.00008762438576,0.0001363890432,id109,0.0003380010852,0.0003250381114,0.0001568797062,0.00001323324626,0.00005317716896,0.0005776201942,0.0001127882116,0.00008069697795,0.0002257316424
,id11,0.0007145564021,0.000112448966,0.000003343737984,0.0000001519221497,0.0003581007714,0.000588566792,0.0001128078213,0.0007500821569,0.0002604608494,id11,0.0003964897381,0.0001429312222,0.000003547697366,0.0000001624307731,0.0002382086614,0.0002957238484,0.00007111764285,0.0004981134059,0.00004724936275,id11,0.0006419884147,0.00008611321685,0.000003048892393,0.0000003651730161,0.0001214598727,0.0007337234195,0.00001993982525,0.001569085356,0.00004636450746
,id110,0.000458590759,0.0001855313482,0.0007836084294,0.0003716027285,0.0002606583641,0.0002388392318,0.0001682719291,0.000351928349,0.0004023882954,id110,0.0002266515244,0.0001457549455,0.0004576968356,0.0001163538032,0.0001058583126,0.00008025941963,0.0000786787171,0.0001311016768,0.0003032592254,id110,0.0002045674133,0.0002399512136,0.0004159442663,0.0001647907277,0.0002265031324,0.00009551801068,0.00009047362479,0.0002726639425,0.0009123518613
,id111,0.0001103405501,0.00001865587082,0.0000790247659,0.00007283535405,0.000283274291,0.0007904676194,0.0001861280048,0.0005351155835,0.0003097980411,id111,0.00006857563187,0.00000379225392,0.00002484908966,0.00004591889609,0.0001756241274,0.0004897047688,0.00006981884207,0.0001223935854,0.0002237826279,id111,0.00006883544147,0.000005624341642,0.00002524835009,0.00004626836159,0.0001938333653,0.0004923225726,0.0001335233017,0.0001704774173,0.0002747541285
,id112,0.00001561053812,0.00007856902627,0.0003555425927,0.000001021460165,0.0001625268354,0.0001068559786,0.0004881346428,0.0001748117621,0.000546992011,id112,0.000006750071432,0.00005362283796,0.0001593468994,0.0000003187705143,0.00005759795385,0.00006653164218,0.000286729954,0.0001161708406,0.0003189489082,id112,0.00001249449495,0.00002855914812,0.000156378743,0.0000004243850602,0.0003233359086,0.00009734602834,0.0002202121358,0.00007698063816,0.0002277447043
,id113,0.0003606318893,0.0005309717812,0.0002932580262,0.0003860038447,0.000367987161,0.0004691472426,0.0006635958607,0.0005902828664,0.0004529371825,id113,0.000261497233,0.0004083659947,0.0003168578683,0.0002644158005,0.0001605003496,0.0002667717197,0.0003579863549,0.0003060644301,0.0002635437571,id113,0.0005090451075,0.0007576731981,0.001032915488,0.0007940480844,0.0005527660873,0.0005950953395,0.001410816525,0.001149360707,0.0009752207541
,id114,0.0003164526596,0.000266271242,0.0001903909162,0.0003225467351,0.0006844127655,0.0008274933057,0.0001681092299,0.0001503890892,0.0002309423375,id114,0.0001320247419,0.00007474680703,0.0000972628041,0.0002963401291,0.0003324497943,0.0004300940739,0.0001150007624,0.0001095186559,0.0002265218355,id114,0.0002207814602,0.0001418569117,0.0001879156312,0.0004814524263,0.0005704872304,0.0009097504336,0.000134888236,0.0000926276094,0.0003021611818
,id115,0.00009259635598,0.0001243001812,0.0001576118968,0.0002475557879,0.0002038364541,0.0003021491467,0.00005413041965,0.0001321701475,0.0004502869499,id115,0.00004425239938,0.00005834371959,0.00003516500786,0.0001023210772,0.00009941310095,0.0001236135428,0.00002828482969,0.0000541351569,0.0003878212463,id115,0.00005609423729,0.0000724045666,0.00004425651366,0.0001418665928,0.0001267308362,0.0002032658356,0.0000293839648,0.00006780386334,0.0006629225859
,id116,0.0004037399223,0.0001468588267,0.0003384684952,0.0002241593751,0.0004721961652,0.0002155703167,0.0002853111805,0.0002872592374,0.0002712992597,id116,0.0002178582405,0.0001392503725,0.0001490479715,0.0001725901641,0.0005287080995,0.0001920163035,0.000182794556,0.0002296353994,0.0001741382486,id116,0.000552286392,0.0006384782703,0.0008405113637,0.0004073341919,0.0008230598523,0.0004166231537,0.0004981272068,0.0004516344766,0.001148456262
,id117,0.0002823203453,0.0004357828769,0.0008841771897,0.0006288286417,0.0005752041517,0.00003523767468,0.00022592335,0.0003073952324,0.000000005585001407,id117,0.0002614574792,0.0003670055801,0.0004484080578,0.0006281765359,0.0004150994289,0.00001678076241,0.0001678156722,0.0001600853616,0.000000001430394432,id117,0.0003284653819,0.0002761756594,0.0004516483968,0.0005375207789,0.0006032754191,0.00006729389988,0.0002402520784,0.0002679014679,0.00000000347957354
,id118,0.000204955309,0.0001389274877,0.000143786514,0.0001464018201,0.0001330084649,0.0001841415518,0.0001447237167,0.0001452156225,0.0000954025955,id118,0.0001118124319,0.00004716712516,0.00008532302648,0.00004427998115,0.00006146437299,0.00007862167308,0.00007258291893,0.0001183391695,0.0000586253763,id118,0.0001114400698,0.00005058373315,0.00007297130774,0.00005220810116,0.0001083144808,0.0001158141138,0.00008751589419,0.0000453076514,0.00006121271807
,id119,0.000518488233,0.0003790251926,0.0005214637609,0.0003428447515,0.0003902884893,0.0002863070581,0.0003505312509,0.0005991250113,0.000251972656,id119,0.0004339375155,0.000340468863,0.0006112405855,0.0002140012119,0.0002058101884,0.0002719531312,0.0004836133035,0.000461214365,0.0001944797912,id119,0.0007992137102,0.0008703130782,0.001373332062,0.001276883065,0.001240150617,0.001214375917,0.001191991907,0.001166675565,0.0007713462779
,id12,0.0006189406924,0.0002044068111,0.0001023635547,0.00001222638966,0.000355541234,0,0.0009107093174,0.0004872514028,0.0001163990875,id12,0.0002263563353,0.0001306019715,0.0001119167943,0.000001260622796,0.0003104349982,0,0.000374134107,0.0005882946754,0.00008480727367,id12,0.0005025978564,0.00008029058952,0.0001603848726,0.000001946249143,0.000402375073,0,0.0007467036661,0.0006210050127,0.00008664092824
,id120,0.0005564080084,0.0005126141891,0.00006377552849,0.00037971139,0.0007006081845,0.000362042871,0.0007560259685,0.0005837430391,0.0004905899545,id120,0.0003346933357,0.0002368944936,0.00001927291976,0.0002809713887,0.0003691823503,0.0001560664632,0.0001903571635,0.0002017128891,0.0002697365576,id120,0.0003441358377,0.0003535871831,0.0000238620885,0.0004492807238,0.0006941951592,0.0007147849086,0.00042153458,0.0009930959882,0.0008960745514
,id121,0.0004026007711,0.0004472666671,0.0003337409024,0.0004344000731,0.0004565955187,0.0003736944459,0.0004875317443,0.000005079535824,0.0002325507793,id121,0.0003007381799,0.0001585494909,0.00025317722,0.0001716409013,0.0002621328464,0.0002757415883,0.000277783998,0.00004594579819,0.0003234931515,id121,0.000447524279,0.0002285141105,0.0005308975196,0.0003007475388,0.0002779369732,0.0003227911528,0.0005272367516,0.0000790708928,0.0001404940291
,id122,0.0003937202819,0.0004394013528,0.0004847064241,0.0003041641971,0.0002748890383,0.0001599500375,0.0002133042641,0.0001349892696,0.0003852549547,id122,0.000190838905,0.0003230429553,0.0002642656727,0.0004745925292,0.0002459621886,0.0001444905671,0.0002254878944,0.0002408241005,0.0002486175497,id122,0.0005210459334,0.0004607695614,0.0003706157189,0.000246409269,0.0002747494791,0.00009837248807,0.0004257904493,0.0001042335787,0.0006193663851
,id123,0.0005816270137,0.0005353965396,0.000584849147,0.000405535088,0.000563717984,0.00000124976301,0.0007182129179,0.0008438838231,0.0006190383435,id123,0.0003875833785,0.0001943821911,0.0005571454599,0.0003135175317,0.0003402721787,0.0000007344610538,0.0002743619495,0.0004421254322,0.0002956934355,id123,0.0008474054001,0.0003143141179,0.001145700951,0.0007861735409,0.000678877816,0.000001000113997,0.000421903554,0.0007747424881,0.000997041972
,id124,0.0006578233649,0.00008702525151,0.0003344361528,0,0.0001164056797,0.0004842962657,0.0001773250245,0.00007072665141,0.00000310787656,id124,0.0003179100139,0.00003842765689,0.00009359982966,0,0.00005781551225,0.0001224445691,0.00008449861142,0.00002291992424,0.000003085548403,id124,0.0004118227773,0.00003424510657,0.0001815795103,0,0.00006480665037,0.0004407644644,0.00009433057619,0.00001755693029,0.000007108499693
,id125,0.0005724738779,0.0007472295825,0.0005361993499,0.0006569530178,0.0005736461719,0.0007425141475,0.0006978996565,0.0002956434963,0.0007441372143,id125,0.0002646812729,0.0003399012875,0.0003060632182,0.0003734467649,0.0004641976744,0.0004866004276,0.0006101748611,0.0002606682801,0.0005589579015,id125,0.000508335436,0.0009619815899,0.0001934653041,0.000576280004,0.001577465837,0.001070988421,0.001040471824,0.001003788363,0.001419624262
,id126,0.0006774763358,0.0008091830047,0.0003683757079,0.0006100319839,0.000282094248,0.0002658901299,0.00009692413683,0.0004118170229,0.00001772771541,id126,0.0005321080132,0.00017754022,0.0002446763872,0.0003744676407,0.0001244518343,0.0001022673319,0.00006896956348,0.0001757733207,0.00001020158085,id126,0.000404364097,0.0005368275671,0.0003535861059,0.000533190005,0.0002717886505,0.0002533742996,0.0001294233143,0.0002310589148,0.000007726254519
,id127,0.0006994703484,0.0005191804308,0.000571915675,0.000548395969,0.0007650346528,0.00008826669832,0.0004283791874,0.0003270856929,0.0001819890692,id127,0.0004144138859,0.0003876250502,0.0002627610545,0.000298804463,0.0003816887314,0.00001954682899,0.0002590999327,0.0001686066156,0.0002288848734,id127,0.0005438146514,0.0006400742541,0.0004588151407,0.0002551047112,0.000731683188,0.00002694106684,0.0002683262084,0.0002036220399,0.0003113323164
,id128,0.0007042868736,0.0005201338339,0.0006070577082,0.0007545450372,0.0003812732711,0.0003566203464,0.0006099909032,0.000006404257966,0.0009164246503,id128,0.0004191715186,0.0001799390803,0.0002815282393,0.0004437960381,0.0002514674307,0.0001158228256,0.0002672326022,0.00002053225503,0.0002952192092,id128,0.000843974234,0.0003372478277,0.0003885686826,0.0007441305972,0.0004181363285,0.0008032157202,0.0004691634073,0.0001155298594,0.0007185765717
,id129,0.0005642237718,0.000377542196,0.0002080026757,0.0002490631945,0.0003820928358,0.0004540792102,0.0001568447122,0.0004960171945,0.0001874537593,id129,0.0002590782272,0.000199768494,0.000103011522,0.00006125758683,0.0001127958345,0.000309610028,0.0001387489673,0.000108145829,0.00003614652233,id129,0.00053994785,0.0004587173732,0.0001508306145,0.0002567015865,0.0003488050304,0.0003769718541,0.0001045804758,0.0004120625048,0.0001837670649
,id13,0,0.000003748045889,0.0002295714986,0.0004661401059,0.0003645793338,0.0002939802689,0.000254272665,0.0002680237263,0.0001977508369,id13,0,0.000001402652263,0.0002390985813,0.0004079906962,0.0001998920948,0.0003668016701,0.00002963918624,0.0001554266694,0.0002907999656,id13,0,0.000002836081199,0.0003182975858,0.0007598208455,0.0001326018188,0.0002417157613,0.00001863353631,0.0001232382012,0.0001082347871
,id130,0,0.0001656521111,0.0001338349355,0.00000002525300559,0.0005285054037,0.0001503779948,0.00007470560716,0.0004996774613,0.0006373866997,id130,0,0.000008013400344,0.00006967465236,0.00000001871517363,0.0001834846765,0.0001124087209,0.00003885769293,0.0001385265214,0.0004504571149,id130,0,0.00004919603442,0.0001367902532,0.000000007814960236,0.000350088221,0.00005738954189,0.00005599666797,0.0004279434286,0.000809588803
,id131,0.00009452866444,0.00004276502561,0.0004173554737,0.0006588706902,0.0001742826599,0.0004515140979,0.0008117967702,0.00003769252342,0.0001415915527,id131,0.00003679610827,0.00000282792862,0.0002615410602,0.0003629887914,0.0001062216247,0.0005277193587,0.0003548178256,0.00001995146805,0.00009000397584,id131,0.0001219827707,0.000003818657975,0.0005055240809,0.0003008809798,0.0001682550354,0.0002913151548,0.0008694757556,0.00002109220657,0.0001047708391
,id132,0.0001149156846,0.000376637312,0.0005666033445,0.0004987570508,0.0002421178847,0.0003035210285,0.0006346859852,0.00005572744607,0.0002049492784,id132,0.00007651906043,0.0001306158482,0.000228547148,0.0004882624593,0.0001761698143,0.0001632493368,0.0002604572825,0.00004652610845,0.0002497044629,id132,0.000288902517,0.001198404438,0.000529651626,0.0008002004692,0.0007683569876,0.0008267533592,0.0008866008453,0.00002472071745,0.0006917540695
,id133,0.0002635966636,0.0002225487125,0.0002656403247,0.0005634665958,0.0006831687312,0.0003965270164,0.0001998205843,0.00004593955151,0.0001254855495,id133,0.0001725908362,0.0001114679319,0.000211134047,0.0003455717143,0.0003983735208,0.0003090381057,0.0002157886044,0.0000560092389,0.00005463117552,id133,0.0002280256767,0.0003385973786,0.0004985956835,0.0005166146792,0.0004117157302,0.0004832116371,0.0003428291613,0.00004194214761,0.00005759594809
