,High_Beta,variance (µ),,,,,,,,,Low_Beta,variance (µ),,,,,,,,,Mu,variance (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id134,0.000244522902,0.0002568787086,0.0003315135204,0.0002841954574,0.0001915116442,0.0002998155615,0.0001987647298,0.0003131734327,0.0003570102648,id134,0.00007496666492,0.0001201925924,0.000186680782,0.0001710039662,0.00006407607305,0.0002044607245,0.00008570399774,0.0001808099374,0.0001627304905,id134,0.0001232294899,0.0001086283206,0.0001649305941,0.0001599860055,0.0001027443259,0.0003231735614,0.0001323677851,0.0001355272664,0.0004242828755
,id135,0.0004389139724,0.0003551843478,0.0002812679582,0.000501561659,0.0005119175078,0.0004589492361,0.0002308119896,0.0004845424362,0.0004057192554,id135,0.0003497005165,0.0004190535648,0.0003085328165,0.0002212562054,0.0003887909208,0.0002207117778,0.0002099451931,0.0004576269321,0.000120238067,id135,0.001081410175,0.001125888694,0.0005531069575,0.0008029620672,0.0008140361202,0.0005449575566,0.00013912303,0.000839814034,0.00109235957
,id136,0.0007682977922,0.0003040728369,0.0006032428918,0.0005280900601,0.00037819711,0.0002861239013,0.0005927778265,0.0003133501357,0.0006001854413,id136,0.0006959290314,0.0002138101607,0.0004708550333,0.0003912891205,0.0004523654797,0.0002065645142,0.0006776313119,0.0004228645076,0.0003257971877,id136,0.0010592374,0.0006019763699,0.001554895417,0.001119180408,0.001381551228,0.000316629848,0.0006683021112,0.0009797448331,0.002366035366
,id137,0.0001610969204,0.0002972141273,0.00007740374524,0.0004350927984,0.0003921148921,0.00004675225405,0.00009375930606,0.0001639013289,0.0001328909746,id137,0.0001283229288,0.0001145718987,0.00002038589928,0.0001578393688,0.0001924757846,0.00001730930691,0.0000318445408,0.00007610838398,0.00006203553774,id137,0.0001559453175,0.00009460111017,0.000006801122934,0.0002646420559,0.0001511479295,0.00001243337069,0.00005749990277,0.0000567192998,0.00006539810192
,id138,0.0004744886876,0.0004458854885,0.0006332338125,0.0002444847711,0.0002747272063,0.0002895623417,0.0001820618468,0.0004415022491,0.0004108433031,id138,0.0004036915662,0.0002874040338,0.0003296323621,0.0002461845933,0.00016394374,0.0001955623297,0.0002678747211,0.0003371847437,0.0001717071759,id138,0.0005075476448,0.0004368351037,0.0005441865468,0.0001812153619,0.0003358010079,0.0003549201819,0.0003829030803,0.0003517127591,0.0003440912414
,id139,0.0005253536065,0.0007304640402,0.0005758278293,0.0008034164183,0.0006705429187,0.0006485808065,0.0004812964613,0.0003610048475,0.0003939942036,id139,0.0001922109042,0.0006777979104,0.0005705262621,0.0006377021668,0.0005536246079,0.0004930495053,0.0004647171956,0.0006099955144,0.0003865088441,id139,0.0003192404249,0.0004610435888,0.0004909606884,0.0006660975233,0.0006319285474,0.0006045569202,0.0004931732729,0.001018449872,0.000645252469
,id14,0.00009233616949,0.00009764136487,0.00001399316889,0.0006164403902,0.0003502933078,0.0008097546572,0.0001351298304,0.0001380631211,0.0006893468519,id14,0.0001969949262,0.0002051018838,0.0000166717761,0.0001861135576,0.0003692106832,0.0004028239667,0.0002366169393,0.00007897477567,0.0004457187066,id14,0.0001837894613,0.00007528227103,0.0000255909298,0.0005720642701,0.0006931902416,0.0002484488102,0.0009708967858,0.0001877588088,0.0009777882239
,id140,0.0006752807933,0.0005506979206,0.0005116487152,0.0004007689645,0.0008132983285,0.0006560982155,0.0002986401834,0.0005639252284,0.0006520021562,id140,0.0004725788498,0.000723249733,0.0004566565143,0.0003066058092,0.0005416354546,0.0008605115785,0.0002854311836,0.0006538612164,0.0004266712341,id140,0.0003705203568,0.0005000533086,0.0004073213209,0.0002649675125,0.001285536371,0.0004071345231,0.0002092000254,0.0003834254514,0.0004094615361
,id141,0.0006712105777,0.0006243551839,0.0005473367396,0.0007670637992,0.0007407948456,0.0006114192353,0.0006082051275,0.0005231574402,0.0007228937483,id141,0.0004323952842,0.0005134423018,0.0005351283708,0.0004240007548,0.0005459841736,0.0003357537483,0.0004167671592,0.0001989578475,0.0004088067875,id141,0.0005683300558,0.0008631986051,0.000401997672,0.00116759167,0.0008785198764,0.0007815382701,0.0009236934689,0.0002957219616,0.0009678297208
,id142,0.0005764835848,0.0006821401613,0.0004171727174,0.0005082367279,0.0002200997389,0.0007792073978,0.0005760850533,0.0002088540108,0.0005134724728,id142,0.0004377625642,0.0003208978531,0.0003024927478,0.000400780658,0.0002231609991,0.0004610465104,0.0004677955782,0.0001353558344,0.0003983340661,id142,0.001162033553,0.00131303714,0.0004873937856,0.001360175902,0.0004210149823,0.001044786035,0.0007829572691,0.0003154856779,0.001214242901
,id143,0.0004431938785,0.0007562681886,0.0007457893962,0.0005625117268,0.0008016106186,0.000546953058,0.000459133464,0.0006752905647,0.0003813388661,id143,0.0001465132051,0.0004163450007,0.0003756655824,0.0005344084443,0.0003999038684,0.0004558223523,0.0003391109783,0.0004473554306,0.0006947620261,id143,0.0006799547057,0.00083334241,0.0005780411356,0.001022971096,0.0007979666257,0.000587960293,0.0008975869018,0.001104290103,0.0009200807645
,id144,0.0005634936018,0.0002683825102,0.0006326349107,0.0007588806897,0.000603294032,0.0004931473937,0.0003406879244,0.0005758718819,0.0002585654857,id144,0.0005333454653,0.0002458664659,0.0005235219435,0.0005713803384,0.0005909792939,0.0005508595795,0.0001919003468,0.000388392571,0.0002865964963,id144,0.000971594567,0.0006701900245,0.0008541304907,0.001550679421,0.001023680677,0.0008937381513,0.0003103044229,0.0005966464736,0.0005436316857
,id145,0.0006377078385,0.001098660367,0.0003389155112,0.0004332306758,0.0003246265127,0.0003854419937,0.0003819244155,0.0002144550908,0.0005320833838,id145,0.0006551767792,0.0005436888139,0.0005683261332,0.0004548774005,0.0003267297732,0.0003714207952,0.0002961543717,0.0003618082396,0.0004710258792,id145,0.0007006646926,0.0007437801742,0.0006501379651,0.0005352532161,0.0004589350816,0.0006737038596,0.0009324050128,0.0005463877098,0.001136340645
,id146,0.0006853743068,0.0003125230425,0.0004989887345,0.0001719881228,0.000473919783,0.0007249443768,0.0005449267426,0.0005613944108,0.0004423729161,id146,0.0003998241974,0.0002072048892,0.0002856053183,0.00005615246012,0.0001869867858,0.0004516694501,0.0005310617991,0.0004754320867,0.0003092349444,id146,0.0004044234461,0.0005368024706,0.0005194327632,0.00008666744141,0.000639208368,0.0007353337181,0.0005971973088,0.0008563972286,0.0008703564271
,id147,0.0002821772515,0.0001026595658,0.0003870376831,0.0003110126334,0.0004405754744,0.0003939703569,0.0004190499874,0.0004299140519,0.0003503948288,id147,0.0001316314209,0.00005383776714,0.0003173796158,0.0002329472187,0.0002710581296,0.0004082130463,0.0003748718355,0.0002023580558,0.0001533425639,id147,0.0005430781845,0.0001983574154,0.001622158767,0.001430688277,0.002894933433,0.00124029359,0.002032707433,0.0006854595918,0.002660363654
,id148,0.0008179541546,0.0005220108914,0.0005621943677,0.001005441781,0.0004464157392,0.0001873499525,0.0004127916142,0.000256633539,0.0001040927509,id148,0.0006515611433,0.0002321121828,0.0003504331788,0.0004539825244,0.0002991216114,0.0002886066911,0.0002059981341,0.0001704079148,0.0001814961163,id148,0.0009044875679,0.0002881817851,0.000153586966,0.0003047451906,0.0005095089008,0.0005233320985,0.0005778778886,0.0008263619664,0.0001186771067
,id149,0.0007257023039,0.0004675406256,0.0005695276406,0.0008127816915,0.001086133729,0.0002125336379,0.0006120580705,0.000539832345,0.0004446306819,id149,0.000529756315,0.0002692352439,0.0005079980928,0.0007543456941,0.0009403274167,0.00005986772256,0.0003733195526,0.0001568908989,0.0004429469279,id149,0.00054563088,0.0005245801785,0.0005861084884,0.0006173547907,0.0004295396742,0.0001151963892,0.0002771739356,0.0004806407821,0.0007591285556
,id15,0.00004218784247,0.0001770864961,0.00003348712916,0.0004877361484,0.0003264373501,0.0004386151102,0.0004227115624,0.0003212558742,0.0005433975207,id15,0.00001825034275,0.00008211397302,0.000006303329088,0.0002958565573,0.0001961927715,0.0002523570701,0.0002209912648,0.00008117565596,0.0006574727663,id15,0.00003126060501,0.00009737368572,0.00002604027848,0.0005298353726,0.0002622549427,0.0006161911028,0.0002044641243,0.0002033394747,0.000335876976
