subject_id,scenario,scenario_num,resting_C3_High_Beta_mav,resting_C3_Low_Beta_mav,resting_C3_Mu_mav,resting_C4_High_Beta_mav,resting_C4_Low_Beta_mav,resting_C4_Mu_mav,resting_CZ_High_Beta_mav,resting_CZ_Low_Beta_mav,resting_CZ_Mu_mav,thinking_C3_High_Beta_mav,thinking_C3_Low_Beta_mav,thinking_C3_Mu_mav,thinking_C4_High_Beta_mav,thinking_C4_Low_Beta_mav,thinking_C4_Mu_mav,thinking_CZ_High_Beta_mav,thinking_CZ_Low_Beta_mav,thinking_CZ_Mu_mav,resting_C3_High_Beta_variance,resting_C3_Low_Beta_variance,resting_C3_Mu_variance,resting_C4_High_Beta_variance,resting_C4_Low_Beta_variance,resting_C4_Mu_variance,resting_CZ_High_Beta_variance,resting_CZ_Low_Beta_variance,resting_CZ_Mu_variance,thinking_C3_High_Beta_variance,thinking_C3_Low_Beta_variance,thinking_C3_Mu_variance,thinking_C4_High_Beta_variance,thinking_C4_Low_Beta_variance,thinking_C4_Mu_variance,thinking_CZ_High_Beta_variance,thinking_CZ_Low_Beta_variance,thinking_CZ_Mu_variance
id111,scenario4,4,9.092635575,6.328893157,6.025331342,8.486326513,5.821120682,6.37090083,6.450392915,5.324232691,5.136447258,8.159654989,6.131223982,6.730491738,8.64488605,5.359496015,6.190417871,8.051293663,5.351722575,5.686357505,0.0002695908701,0.0001048115717,8.677968779e-05,0.0001583117807,7.236349338e-05,8.601595163e-05,7.283535405e-05,4.591889609e-05,4.626836159e-05,0.000156993567,8.000165154e-05,9.834583393e-05,0.0001696284466,5.209743621e-05,8.112878617e-05,0.0001121041448,4.954608728e-05,5.619726582e-05
id111,scenario5,5,12.09569866,8.453719624,8.246555466,12.68647554,7.890977373,7.326302632,12.15975732,9.684947513,10.96004242,12.14192283,7.258636015,7.813447854,11.8546527,8.326238298,7.199125332,12.94823587,10.03507015,9.76830733,0.0002913125186,0.0001317032057,0.0001221580978,0.0002729707894,0.0001140067418,8.623746292e-05,0.000283274291,0.0001756241274,0.0001938333653,0.0003023860213,0.0001023689954,0.0001079257889,0.0002770735425,0.0001345690333,9.379430204e-05,0.0003135203568,0.0002014035027,0.0001633697215
id111,scenario6,6,2.994984927,2.511649916,2.52956025,15.48874967,12.25912691,13.79323632,21.06878006,16.96364956,17.03054858,5.763537926,4.778196445,5.248123495,17.03720009,12.08263915,11.71815786,24.3928304,19.17083293,18.19408541,1.642056631e-05,9.358794224e-06,1.005687274e-05,0.000503504766,0.0002638495928,0.0003298027028,0.0007904676194,0.0004897047688,0.0004923225726,0.0001224432406,6.36167692e-05,9.036530895e-05,0.0006815735756,0.0003327366039,0.0003260167124,0.00116183895,0.00067254257,0.0005803837013
id111,scenario7,7,8.765918586,5.188003641,5.496259098,10.87098498,7.067973171,6.556907894,8.88683555,5.668260211,7.398950352,9.17187904,6.64187784,6.605642917,7.186257198,4.566553836,4.602771159,9.028802365,5.926745129,5.842158347,0.0002128025643,5.792024856e-05,5.802384293e-05,0.0003210033655,0.0001181837562,8.211178827e-05,0.0001861280048,6.981884207e-05,0.0001335233017,0.0002102910962,0.0001257953272,0.0001028491021,0.0001477207183,5.618711287e-05,5.025523623e-05,0.0002051019655,9.52086606e-05,8.524782454e-05
id111,scenario8,8,16.0495969,8.695242821,9.184284971,16.23334313,8.38375935,10.3472227,16.5685636,8.450167289,10.35731426,10.70759855,6.420045408,7.439143337,12.13237656,9.380142794,8.656978939,13.54358,7.740355167,8.22534303,0.0005159020469,0.0001293231961,0.0001369157012,0.00050294123,0.0001266071451,0.0001982042715,0.0005351155835,0.0001223935854,0.0001704774173,0.0002754642155,0.0001030125825,0.0001330513103,0.0003713681418,0.0002157020334,0.0001627199093,0.0004120901229,0.0001288945662,0.0001523927626
id111,scenario9,9,16.39661653,10.54766682,12.12879173,15.52674071,9.633824365,9.277813863,13.35925124,11.52053631,12.82632653,9.045981996,5.146696515,5.946631769,11.06858147,5.854713599,6.773254502,10.40199267,7.183300985,9.313281768,0.0004821199683,0.0002063035031,0.0002599782745,0.0004622634605,0.0002016471759,0.0001686994147,0.0003097980411,0.0002237826279,0.0002747541285,0.0001823943637,4.611539917e-05,9.238888335e-05,0.0003003049641,6.672917082e-05,0.0001221958303,0.0002208685405,9.922949912e-05,0.0002136002384
id112,scenario1,1,1.428622253,1.484127318,1.375454545,0.6281767996,0.4036100786,0.5434272272,2.030858143,1.459490994,1.940654648,6.854362732,3.425143172,6.675882619,3.085767215,2.141044227,2.703146019,7.037715608,5.544537701,6.429060849,8.045931857e-06,1.046165106e-05,9.540838936e-06,1.281395477e-06,3.504302293e-07,7.038192163e-07,1.561053812e-05,6.750071432e-06,1.249449495e-05,0.0001410067395,2.672340695e-05,0.0001212779517,2.263470286e-05,1.040812895e-05,1.651530143e-05,0.0001208764408,7.768098711e-05,8.18454459e-05
id112,scenario2,2,4.263859689,3.461053124,2.649803769,5.791548877,3.831538617,5.127393732,4.937468463,4.140038146,3.037093815,5.272072463,3.052730964,4.970517963,10.19581446,5.594505506,12.33245365,5.31585233,4.261148586,5.236511614,5.640584797e-05,3.332095597e-05,1.887191575e-05,9.782220065e-05,3.392995465e-05,6.191853442e-05,7.856902627e-05,5.362283796e-05,2.855914812e-05,8.772882069e-05,2.377346843e-05,5.829049995e-05,0.0002749974197,8.131046979e-05,0.0004211201528,7.820554915e-05,4.705377103e-05,7.380840072e-05
id112,scenario3,3,4.581844249,3.621379954,3.819094861,5.255980094,4.791653803,4.925723097,14.09273368,9.972437509,9.980949916,5.133724045,4.559992645,9.545639003,6.118488562,4.518580129,10.97428721,9.749653718,8.320485265,14.14079618,3.480282411e-05,2.181804326e-05,2.39527645e-05,4.324502949e-05,3.894065327e-05,4.170354478e-05,0.0003555425927,0.0001593468994,0.000156378743,5.880220851e-05,4.612881619e-05,0.0002268583288,7.978150576e-05,4.486577815e-05,0.0002649188261,0.0002301189127,0.0001414367315,0.0004695912138
id112,scenario4,4,15.18414362,10.30120863,11.05216431,16.81263273,15.67119897,17.14107314,0.795905603,0.4452959258,0.516932432,10.15851841,7.869682536,10.29403418,18.60465302,12.80195655,28.22437423,13.73722157,9.147765098,16.56833687,0.0003976925335,0.0001639152526,0.0001959259399,0.0005220226175,0.0004844080343,0.0005105918161,1.021460165e-06,3.187705143e-07,4.243850602e-07,0.0001815738612,0.0001086923633,0.0001801223195,0.0006523221252,0.0003093838391,0.001462275119,0.0004980881439,0.000205449523,0.0007697817888
