subject_id,task,channel,subband,scenario,scenario_num,mav,variance
id10,resting,C3,Low_Beta,scenario7,7,1.164986195,4.018284736e-06
id10,resting,C3,Low_Beta,scenario8,8,2.629288737,3.67851038e-05
id10,resting,C3,Low_Beta,scenario9,9,7.733339757,0.0001347012333
id10,resting,C3,Mu,scenario1,1,2.68134475,5.168379134e-05
id10,resting,C3,Mu,scenario2,2,4.485983953,9.893318425e-05
id10,resting,C3,Mu,scenario3,3,1.394099805,3.421209041e-06
id10,resting,C3,Mu,scenario4,4,1.594274713,1.751666492e-05
id10,resting,C3,Mu,scenario5,5,2.842509592,2.705131571e-05
id10,resting,C3,Mu,scenario6,6,5.073128484,6.40156316e-05
id10,resting,C3,Mu,scenario7,7,1.102969474,4.315256402e-06
id10,resting,C3,Mu,scenario8,8,3.397712945,5.635674107e-05
id10,resting,C3,Mu,scenario9,9,11.55789877,0.0003283240409
id10,resting,C4,High_Beta,scenario1,1,4.659582753,9.534194955e-05
id10,resting,C4,High_Beta,scenario2,2,4.74606043,0.0001105027504
id10,resting,C4,High_Beta,scenario3,3,12.44499121,0.000264399762
id10,resting,C4,High_Beta,scenario4,4,3.50629349,4.730490409e-05
id10,resting,C4,High_Beta,scenario5,5,13.07181525,0.0004472385778
id10,resting,C4,High_Beta,scenario6,6,10.06002046,0.0002474165477
id10,resting,C4,High_Beta,scenario7,7,0.5175424972,4.188137452e-07
id10,resting,C4,High_Beta,scenario8,8,7.418422184,0.0002130478098
id10,resting,C4,High_Beta,scenario9,9,16.49124238,0.0005250103163
id10,resting,C4,Low_Beta,scenario1,1,3.465740841,3.547927672e-05
id10,resting,C4,Low_Beta,scenario2,2,3.556375771,4.306442467e-05
id10,resting,C4,Low_Beta,scenario3,3,8.427635524,0.0001181364501
id10,resting,C4,Low_Beta,scenario4,4,2.524986489,2.913156472e-05
id10,resting,C4,Low_Beta,scenario5,5,11.97305934,0.0003121726085
id10,resting,C4,Low_Beta,scenario6,6,7.187616436,0.0001110024151
id10,resting,C4,Low_Beta,scenario7,7,0.1719908076,5.32502243e-08
id10,resting,C4,Low_Beta,scenario8,8,5.187677782,9.286406993e-05
id10,resting,C4,Low_Beta,scenario9,9,9.822135908,0.00016612322
id10,resting,C4,Mu,scenario1,1,3.809741639,4.823138692e-05
id10,resting,C4,Mu,scenario2,2,3.905196993,4.725151877e-05
id10,resting,C4,Mu,scenario3,3,10.00659774,0.0001721947809
id10,resting,C4,Mu,scenario4,4,2.590152649,3.24305362e-05
id10,resting,C4,Mu,scenario5,5,17.75548491,0.000721391076
id10,resting,C4,Mu,scenario6,6,12.42086252,0.0004061208273
id10,resting,C4,Mu,scenario7,7,0.159634419,3.9867268e-08
id10,resting,C4,Mu,scenario8,8,7.999669581,0.000259717339
id10,resting,C4,Mu,scenario9,9,13.03772513,0.0002777178662
id10,resting,CZ,High_Beta,scenario1,1,6.409969733,0.0002171174645
id10,resting,CZ,High_Beta,scenario2,2,15.06914056,0.0005247339494
id10,resting,CZ,High_Beta,scenario3,3,11.17738296,0.0002504580864
id10,resting,CZ,High_Beta,scenario4,4,3.767130258,2.107675665e-05
id10,resting,CZ,High_Beta,scenario5,5,16.03224908,0.0005583518202
id10,resting,CZ,High_Beta,scenario6,6,22.24081665,0.0008982017226
id10,resting,CZ,High_Beta,scenario7,7,1.252909439,2.454467177e-06
id10,resting,CZ,High_Beta,scenario8,8,9.028218403,0.0003767562489
id10,resting,CZ,High_Beta,scenario9,9,15.16486246,0.00049776652
id10,resting,CZ,Low_Beta,scenario1,1,3.562445402,4.083037215e-05
id10,resting,CZ,Low_Beta,scenario2,2,11.29872609,0.0002722066166
id10,resting,CZ,Low_Beta,scenario3,3,10.16349841,0.000179486155
